state,land_area,forest_area,forest_area_2012,inventory_date,annulization_2016
Connecticut,3099,1712,1712,2003,yes
Delaware,1247,340,340,2004,Yes
Illinois,35532,4848,4848,2001,Yes
Indiana,22929,4830,4830,1999,Yes
Iowa,35749,3014,3014,1999,Yes
Kansas,52326,2502,2502,2001,Yes
Maine,19739,17660,17660,1999,Yes
Maryland,6252,2461,2461,2004,Yes
Massachusetts,4992,3024,3024,2003,Yes
Michigan,36185,20127,20127,2000,Yes
Minnesota,50961,17371,17371,1999,Yes
Missouri,43995,15472,15472,1999,Yes
Nebraska,49167,1576,1576,2001,Yes
New Hampshire,5730,4832,4832,2002,Yes
New Jersey,4707,1964,1964,2004,Yes
New York,30161,18966,18966,2002,Yes
North Dakota,44161,760,734,2001,Yes
Ohio,26151,8088,8088,2001,Yes
Pennsylvania,28635,16782,16782,2000,Yes
Rhode Island,662,360,360,2003,Yes
South Dakota,48519,1911,1911,2001,Yes
Vermont,5899,4591,4591,2003,Yes
West Virginia,15384,12155,12155,2004,Yes
Wisconsin,34661,16980,16980,2000,Yes
Alabama,32413,22877,22877,2001,Yes
Arkansas,33303,18755,18755,2000,Yes
Florida,34447,17461,17461,2001,Yes
Georgia,36809,24768,24768,1998,Yes
Kentucky,25271,12472,12472,1999,Yes
Louisiana,27650,14712,14712,2000,Yes
Mississippi,30031,19542,19542,2007,Yes
North Carolina,31115,18588,18588,2003,Yes
Oklahoma,43901,12646,12256,2008,Yes
South Carolina,19239,13120,13120,1998,Yes
Tennessee,26390,13942,13942,1999,Yes
Texas,167188,62425,40318,2000,Yes
Virginia,25274,15907,15907,1998,Yes
Arizona,72700,18643,10795,2001,Yes
Colorado,66331,22837,19995,2002,Yes
Idaho,52892,21448,21247,2004,Yes
Montana,93149,25573,25169,2003,Yes
Nevada,70260,11169,8121,2010,Yes
New Mexico,77631,24840,16615,2008,Yes
Utah,52589,18135,11866,2000,Yes
Wyoming,62140,11448,10807,2010,Yes
Alaska,365616,128577,128577,2004,Yes
California,99699,32618,32057,2001,Yes
Hawaii,4110,1748,1748,2010,Yes
Oregon,61432,29804,29787,2001,Yes
Washington,42532,22435,22435,2002,Yes