state,frog,count
Alabama,Gopher Frog,12
Arizona,Chirichhua Leopard Frog,694
Arkansas,Green Frog,592
California,foothill yellow-legged frog,3800
Colorado,Northern Leopard Frog,553
Connecticut,Northern Leopard Frog,23
Delaware,Atlantic Coast Leopard Frog,62
Florida,Gopher Frog,208
Georgia,,
Idaho,Northern Leopard Frog,366
Illinois,Green Frog,2005
Indiana,American Bullfrog,963
Iowa,Green Frog,130
Kansas,Crawfish Frog,8
Kentucky,Northern Leopard Frog,12
Louisiana,Pickerel Frog,21
Maine,Northern Leopard Frog,442
Maryland,Southern Leopard Frog,1141
Massachusetts,Northern Leopard Frog,479
Michigan,Northern Leopard Frog,1832
Minnesota,Northern Leopard Frog,3082
Mississippi,Pickerel Frog,116
Missouri,Wood Frog,87
Montana,Northern Leopard Frog,161
Nebraska,Northern Leopard Frog,141
Nevada,Relict Leopard Frog,70
New Hampshire,Northern Leopard Frog,12
New Jersey,Carpenter Frog,207
New Mexico,Northern Leopard Frog,100
New York,Northern Leopard Frog,91
North Carolina,Southern Leopard Frog,54
North Dakota,,
Ohio,Northern Leopard Frog,1
Oklahoma,Pickerel Frog,68
Oregon,Northern Red-legged Frog,2038
Pennsylvania,Northern Leopard Frog,177
Rhode Island,Northern Leopard Frog,2
South Carolina,Pickerel Frog,122
South Dakota,Plains Leopard Frog,33
Tennessee,Crawfish Frog,1
Texas,Rio Grande Leopard Frog,1067
Utah,Northern Leopard Frog,344
Vermont,Northern Leopard Frog,1520
Virginia,Southern Leopard Frog,1206
Washington,Cascades Frog ,1433
West Virginia,Northern Leopard Frog,4
Wisconsin,Northern Leopard Frog,1676
Wyoming,Columbia Spotted Frog,300