"","Song","lyric"
"184","""Cheap Shoes""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_35924768/su_0/rs_0/tr_3vucaftnnh3ddv15kgg3rn9kxgko9doz0yq5-rinreuitavk1ntnkwqv_rin4hooq_7qioz5wbmx47r9fhkhmrwd32e515ohnqktjpqqkhxtq4cqehvblxb6edajcnrtoylouqr3en8cydfgco5t0qrkdzbgocvs07jxrjnnt5ylt2kq2_8flcqff-d1iucmiz2tqex9pkrpalt4jx7n4t3soyzb-obj-_ljimxds5yzmuwms-uda6patox1wzo1pejzvkbyjl1ue05_0-uwhqs0jlmrzfxuq-1zrteijf5w4_d9tk7jjeenxzkfak_icg0x5_c4gvs9-oztagmm1vmtw_axqyopqvzlsziwnzowgziw0fa16peq8vzwaci9frv7jh1iw7gzf5eswpvqfrgeu50kj5p_covnntgtcbuei6z4jrywvle5zj8has-pw4efasgrauk9/"" width=""290px"" height=""50px""></iframe>'+"
"185","""Cheap Shoes""","  '</div>');"
"186","""Cheap Shoes""","   }"
"187","""Growth""","i have been careful for all of my years"
"188","""Growth""","i tried not to move too much of your hair"
"189","""Growth""","did you find it endearing?"
"190","""Growth""","hesitance so sincere"
"191","""Growth""","but you treated me like a company jet"
"192","""Growth""","took me a few times on luxurious spins"
"193","""Growth""","cashed in on amenities and bragged to your friends"
"194","""Growth""","but it's not like they care"
"195","""Growth""","they're so wrapped in themselves"
"196","""Growth""","like the news stand on hillhurst"
"197","""Growth""","all the gossip and wealth"
"198","""Growth""","you're so used to the ignorance of the apathetic"
"199","""Growth""","each time i come home"
"200","""Growth""","i still look for my dog"
"201","""Growth""","it's a force of old habit"
"202","""Growth""","it's not that i forgot"
"203","""Growth""","for a second i'm alright"
"204","""Growth""","'till i realize she's gone"
"205","""Growth""","i guess being an adult is just being alone"
"206","""Growth""","i'll go back to the couch, let you stare at your phone"
"207","""Growth""","we'll pretend this is normal"
"208","""Growth""","we'll pretend this is growth"
"209","""Growth""","uh, let me do one more"
"210","""Growth""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"211","""Growth""","  {"
"212","""Growth""","     document.getelementbyid('azmxmbanner').style.display='block';"
"213","""Growth""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"214","""Growth""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_35895145/su_0/rs_0/tr_3vucani1jkynsrapk1flkwl8n62mf_efmfaxoq2sqgmhxm_iv4dz1hkrfnek7tjlkpjrihhoss4tjon2pedrklv-surf6yzrgssr-ful8gv2jluuhbl1fw9rik_bzkk0akbbgejyguawyfipzii8iehj-fdxnbumph5ebcc9uuds18i0ypf-ewgqq4uaukwaxvrnew6drxmovlr8idio-myjk4228bevg5_pzeofoqpyp3ioobhyrt69lnd5axtqca7i9oe75lvfrxfqaa9hftlel7wrblr6bdvaf195pegl2msz1n0l1go-r5yhtgmfslcjbvshdd07iqhhq59kp_en530ctup5w4vumwygsbyggh55haszb53yu45ruq6muunpvemlnwr87iefjxhbb2k6g57yvpd5r758hiw4lrel4r7dbo9hpqlrrvxjolq6sw-leiy/"" width=""290px"" height=""50px""></iframe>'+"
"215","""Growth""","  '</div>');"
"216","""Growth""","   }"
"217","""Can't Be Still""","i can't be still"
"218","""Can't Be Still""","i can't be still"
"219","""Can't Be Still""","i can't be still"
"220","""Can't Be Still""","i can't be"
"221","""Can't Be Still""","a power lunch"
"222","""Can't Be Still""","i take my calls in the car"
"223","""Can't Be Still""","i pack a punch"
"224","""Can't Be Still""","a firm handshake can take you so far"
"225","""Can't Be Still""","i'm a rush"
"226","""Can't Be Still""","i'm double speed, straight to your head"
"227","""Can't Be Still""","the perfect stunt"
"228","""Can't Be Still""","begging for bedlam on the reg"
"229","""Can't Be Still""","i can't be still"
"230","""Can't Be Still""","i can't be still"
"231","""Can't Be Still""","i can't be still"
"232","""Can't Be Still""","i can't be"
"233","""Can't Be Still""","i can't be still"
"234","""Can't Be Still""","i can't be still"
"235","""Can't Be Still""","i can't be still"
"236","""Can't Be Still""","i can't be"
"237","""Can't Be Still""","ah, ah, ah"
"238","""Can't Be Still""","oh, when things are moving too slow"
"239","""Can't Be Still""","ah, ah, ah"
"240","""Can't Be Still""","oh, got places i wanna go"
"241","""Can't Be Still""","ah, ah, ah"
"242","""Can't Be Still""","oh, oh, oh, i can't be alone now"
"243","""Can't Be Still""","show me how"
"244","""Can't Be Still""","an adderall"
"245","""Can't Be Still""","i keep my focus on the brain"
"246","""Can't Be Still""","i'm a ball"
"247","""Can't Be Still""","can hardly keep my laughter contained"
"248","""Can't Be Still""","bring it on"
"249","""Can't Be Still""","i triple-book my saturdays"
"250","""Can't Be Still""","but i pretend"
"251","""Can't Be Still""","my program keeps me from freaking"
"252","""Can't Be Still""","out"
"253","""Can't Be Still""","oh, when things are moving too slow"
"254","""Can't Be Still""","ah, ah, ah"
"255","""Can't Be Still""","oh, got places i wanna go"
"256","""Can't Be Still""","ah, ah, ah"
"257","""Can't Be Still""","oh, oh, oh, i can't be alone now"
"258","""Can't Be Still""","show me how"
"259","""Can't Be Still""","i can't be still"
"260","""Can't Be Still""","i can't be still"
"261","""Can't Be Still""","i can't be still"
"262","""Can't Be Still""","i can't be"
"263","""Can't Be Still""","i can't be still"
"264","""Can't Be Still""","i can't be still"
"265","""Can't Be Still""","i can't be still"
"266","""Can't Be Still""","i can't be"
"267","""Can't Be Still""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"268","""Can't Be Still""","  {"
"269","""Can't Be Still""","     document.getelementbyid('azmxmbanner').style.display='block';"
"270","""Can't Be Still""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"271","""Can't Be Still""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_35457882/su_0/rs_0/tr_3vucafk4yxvjkd9cclpyiesjvk6hslcyqddccjkkff3cgjsinh3ryxslddlqxzkjm6m_-q8xot4sucsd3f4kceux1_9gb2jfy4k-xu7iqpcxxer2qekxxgjy3p1rz09galwmq53d6f2xzj7c2wqf8owlikumxxg2brukjz3fnjirevzzzwwwwcuhbshlrwsjsc3yf3caay1hyaxblcjmanq_t6axgkmvx9rc8ukdtdswr8rxkmjbjcoo866ynglex3pkwidueoahnnwffxfix74u4bng7x76hw_6qjjnd_q3zuewbed9vn1t9ixlofr1nb3vrqz9yavq9gnhdg4eepwyf7wevvzwluqdy2c9oxag3bk0csob1vstaecpwey3hznizjg37imssake4csqx5-mlyktuj2vyq2wu53oby-fosrsveinqxokltl89staf8ie4i2dz7a5cnedn74/"" width=""290px"" height=""50px""></iframe>'+"
"272","""Can't Be Still""","  '</div>');"
"273","""Can't Be Still""","   }"
"274","""I Would Like, Still Love You""","if you came to murder me one night in my sleep"
"275","""I Would Like, Still Love You""","i would like, still"
"276","""I Would Like, Still Love You""","love you"
"277","""I Would Like, Still Love You""","and if you came to burn down my house while i was out"
"278","""I Would Like, Still Love You""","i would like, still"
"279","""I Would Like, Still Love You""","love you"
"280","""I Would Like, Still Love You""","if you threw a drink in my face to prove i'm wrong"
"281","""I Would Like, Still Love You""","i would like, still"
"282","""I Would Like, Still Love You""","love you"
"283","""I Would Like, Still Love You""","if you looked away and said, ""this is the last time"""
"284","""I Would Like, Still Love You""","i would like, still"
"285","""I Would Like, Still Love You""","love you"
"286","""I Would Like, Still Love You""","every days a blessing"
"287","""I Would Like, Still Love You""","every days a problem"
"288","""I Would Like, Still Love You""","every day is messy"
"289","""I Would Like, Still Love You""","every day i'm solving you"
"290","""I Would Like, Still Love You""","still love you"
"291","""I Would Like, Still Love You""","still love you"
"292","""I Would Like, Still Love You""","i would like, still love you"
"293","""I Would Like, Still Love You""","if you slash a knife through my tire id be stuck"
"294","""I Would Like, Still Love You""","but i would like, still"
"295","""I Would Like, Still Love You""","love you"
"296","""I Would Like, Still Love You""","if you drill a hole through my hard drive don't worry i'm backed up and still..."
"297","""I Would Like, Still Love You""","i love you"
"298","""I Would Like, Still Love You""","still love you"
"299","""I Would Like, Still Love You""","still love you"
"300","""I Would Like, Still Love You""","i would like, still love you"
"301","""I Would Like, Still Love You""","when you"
"302","""I Would Like, Still Love You""","ignore me"
"303","""I Would Like, Still Love You""","my heart"
"304","""I Would Like, Still Love You""","is soaring"
"305","""I Would Like, Still Love You""","i cannot"
"306","""I Would Like, Still Love You""","name a way"
"307","""I Would Like, Still Love You""","you could ever fall from grace"
"308","""I Would Like, Still Love You""","unless of course you ever say"
"309","""I Would Like, Still Love You""","that you don't think of me that way"
"310","""I Would Like, Still Love You""","but if you told all of our friends that i hated them"
"311","""I Would Like, Still Love You""","i would like, still"
"312","""I Would Like, Still Love You""","love you"
"313","""I Would Like, Still Love You""","and you can't look me in the eye and truthfully tell me that you don't"
"314","""I Would Like, Still Love You""","love me too"
"315","""I Would Like, Still Love You""","still love you"
"316","""I Would Like, Still Love You""","i would like still love you"
"317","""I Would Like, Still Love You""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"318","""I Would Like, Still Love You""","  {"
"319","""I Would Like, Still Love You""","     document.getelementbyid('azmxmbanner').style.display='block';"
"320","""I Would Like, Still Love You""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"321","""I Would Like, Still Love You""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/dfd9gogocmskm2rjwzjth0h7mhmh9tbw/24pkhf8q53rr2n8ve0b0h4eym+2npkkedcgqccjrqs4jqczdim0i0uipd9sjlz+jw0h2a2hslxlcjt9g8wr2nhjqvb+yg3qvgwbz3vyhx1bquk1uayqtlgholgldpfhr2yuhrllpqm=/?artist_name=illuminati+hotties&track_name=i+would+like%2c+still+love+you&s=dbe27373c8674a5cf449fec09e460986"" width=""290px"" height=""50px""></iframe>'+"
"322","""I Would Like, Still Love You""","  '</div>');"
"323","""I Would Like, Still Love You""","   }"
"324","""Throw (Life Raft)""","see"
"325","""Throw (Life Raft)""","the starboard solo"
"326","""Throw (Life Raft)""","be the brightest burnout"
"327","""Throw (Life Raft)""","you see"
"328","""Throw (Life Raft)""","i'm unreliable"
"329","""Throw (Life Raft)""","i'm dropping everything"
"330","""Throw (Life Raft)""","i'm dropping what i'm doing"
"331","""Throw (Life Raft)""","to be"
"332","""Throw (Life Raft)""","above"
"333","""Throw (Life Raft)""","to throw"
"334","""Throw (Life Raft)""","your love"
"335","""Throw (Life Raft)""","a life raft"
"336","""Throw (Life Raft)""","an artifact"
"337","""Throw (Life Raft)""","to slice"
"338","""Throw (Life Raft)""","the fuzz"
"339","""Throw (Life Raft)""","to throw"
"340","""Throw (Life Raft)""","your love"
"341","""Throw (Life Raft)""","a life raft"
"342","""Throw (Life Raft)""","but would you laugh"
"343","""Throw (Life Raft)""","at me"
"344","""Throw (Life Raft)""","i'm always falling behind"
"345","""Throw (Life Raft)""","so i"
"346","""Throw (Life Raft)""","sit back"
"347","""Throw (Life Raft)""","soft in the middle"
"348","""Throw (Life Raft)""","i'm taking my time"
"349","""Throw (Life Raft)""","please"
"350","""Throw (Life Raft)""","you know i'm falling behind"
"351","""Throw (Life Raft)""","come on"
"352","""Throw (Life Raft)""","sit back"
"353","""Throw (Life Raft)""","soft in the middle"
"354","""Throw (Life Raft)""","and take your time"
"355","""Throw (Life Raft)""","i think of you often"
"356","""Throw (Life Raft)""","i think of fondly"
"357","""Throw (Life Raft)""","i think, if you wanted me"
"358","""Throw (Life Raft)""","i'd drop everything"
"359","""Throw (Life Raft)""","i'd drop what i'm doing"
"360","""Throw (Life Raft)""","to be"
"361","""Throw (Life Raft)""","above"
"362","""Throw (Life Raft)""","to throw"
"363","""Throw (Life Raft)""","your love"
"364","""Throw (Life Raft)""","a life raft"
"365","""Throw (Life Raft)""","with a note attached"
"366","""Throw (Life Raft)""","from me"
"367","""Throw (Life Raft)""","i'm always one step behind"
"368","""Throw (Life Raft)""","so i"
"369","""Throw (Life Raft)""","sit back"
"370","""Throw (Life Raft)""","soft in the middle"
"371","""Throw (Life Raft)""","i'm taking my time"
"372","""Throw (Life Raft)""","please"
"373","""Throw (Life Raft)""","i'm only one step behind"
"374","""Throw (Life Raft)""","come on"
"375","""Throw (Life Raft)""","sit back"
"376","""Throw (Life Raft)""","soft in the middle"
"377","""Throw (Life Raft)""","and take your time"
"378","""Throw (Life Raft)""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"379","""Throw (Life Raft)""","  {"
"380","""Throw (Life Raft)""","     document.getelementbyid('azmxmbanner').style.display='block';"
"381","""Throw (Life Raft)""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"382","""Throw (Life Raft)""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36181395/su_0/rs_0/tr_3vucaptfoinfuev4ed5-yvpje4_idxhpkfywy1vhnvbpktqwlljba4icqzqaj1wfg70g3metxdeeccvahra4jmt0pdfu3juh0_ytcskufzr5ibwtbr1dcx4bok3-af-ot71qfkff0wmshr-zkxv6cv_wex7mfla1j-9gsty7k-sbnll252xwj-f88ldlucwxihgmj2e8ow4esz6zykbjvfcoddveqz6es2iflupkgxj1xqry0m31zc9n3karkqqproh9qivary7v21qv_wft02pyzjn_i5_9fbkmqsstp55prv6_dxvp3ya78nqa3y0yv4ne9cbe_bfgjxt6yq_ob8ctd34mt5wawpjka_5pw3fbvnrjerto-oftq9xgyroipyba3zckz70trzfn93ci9h9k1bad_tfbi99sijnbpogr23jtwctv-8izjftftbejqlpigl5ci8onnazuyue62wotvw/"" width=""290px"" height=""50px""></iframe>'+"
"383","""Throw (Life Raft)""","  '</div>');"
"384","""Throw (Life Raft)""","   }"
